realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1971-04-01,7.31
2019-12-23,2019-12-23,1971-05-01,7.43
2019-12-23,2019-12-23,1971-06-01,7.53
2019-12-23,2019-12-23,1971-07-01,7.60
2019-12-23,2019-12-23,1971-08-01,7.70
2019-12-23,2019-12-23,1971-09-01,7.69
2019-12-23,2019-12-23,1971-10-01,7.63
2019-12-23,2019-12-23,1971-11-01,7.55
2019-12-23,2019-12-23,1971-12-01,7.48
2019-12-23,2019-12-23,1972-01-01,7.44
2019-12-23,2019-12-23,1972-02-01,7.33
2019-12-23,2019-12-23,1972-03-01,7.30
2019-12-23,2019-12-23,1972-04-01,7.29
2019-12-23,2019-12-23,1972-05-01,7.37
2019-12-23,2019-12-23,1972-06-01,7.37
2019-12-23,2019-12-23,1972-07-01,7.40
2019-12-23,2019-12-23,1972-08-01,7.40
2019-12-23,2019-12-23,1972-09-01,7.42
2019-12-23,2019-12-23,1972-10-01,7.42
2019-12-23,2019-12-23,1972-11-01,7.43
2019-12-23,2019-12-23,1972-12-01,7.44
2019-12-23,2019-12-23,1973-01-01,7.44
2019-12-23,2019-12-23,1973-02-01,7.44
2019-12-23,2019-12-23,1973-03-01,7.46
2019-12-23,2019-12-23,1973-04-01,7.54
2019-12-23,2019-12-23,1973-05-01,7.65
2019-12-23,2019-12-23,1973-06-01,7.73
2019-12-23,2019-12-23,1973-07-01,8.05
2019-12-23,2019-12-23,1973-08-01,8.50
2019-12-23,2019-12-23,1973-09-01,8.82
2019-12-23,2019-12-23,1973-10-01,8.77
2019-12-23,2019-12-23,1973-11-01,8.58
2019-12-23,2019-12-23,1973-12-01,8.54
2019-12-23,2019-12-23,1974-01-01,8.54
2019-12-23,2019-12-23,1974-02-01,8.46
2019-12-23,2019-12-23,1974-03-01,8.41
2019-12-23,2019-12-23,1974-04-01,8.58
2019-12-23,2019-12-23,1974-05-01,8.97
2019-12-23,2019-12-23,1974-06-01,9.09
2019-12-23,2019-12-23,1974-07-01,9.28
2019-12-23,2019-12-23,1974-08-01,9.59
2019-12-23,2019-12-23,1974-09-01,9.96
2019-12-23,2019-12-23,1974-10-01,9.98
2019-12-23,2019-12-23,1974-11-01,9.79
2019-12-23,2019-12-23,1974-12-01,9.62
2019-12-23,2019-12-23,1975-01-01,9.43
2019-12-23,2019-12-23,1975-02-01,9.11
2019-12-23,2019-12-23,1975-03-01,8.90
2019-12-23,2019-12-23,1975-04-01,8.82
2019-12-23,2019-12-23,1975-05-01,8.91
2019-12-23,2019-12-23,1975-06-01,8.89
2019-12-23,2019-12-23,1975-07-01,8.89
2019-12-23,2019-12-23,1975-08-01,8.94
2019-12-23,2019-12-23,1975-09-01,9.13
2019-12-23,2019-12-23,1975-10-01,9.22
2019-12-23,2019-12-23,1975-11-01,9.15
2019-12-23,2019-12-23,1975-12-01,9.10
2019-12-23,2019-12-23,1976-01-01,9.02
2019-12-23,2019-12-23,1976-02-01,8.81
2019-12-23,2019-12-23,1976-03-01,8.76
2019-12-23,2019-12-23,1976-04-01,8.73
2019-12-23,2019-12-23,1976-05-01,8.77
2019-12-23,2019-12-23,1976-06-01,8.85
2019-12-23,2019-12-23,1976-07-01,8.93
2019-12-23,2019-12-23,1976-08-01,9.00
2019-12-23,2019-12-23,1976-09-01,8.98
2019-12-23,2019-12-23,1976-10-01,8.93
2019-12-23,2019-12-23,1976-11-01,8.81
2019-12-23,2019-12-23,1976-12-01,8.79
2019-12-23,2019-12-23,1977-01-01,8.72
2019-12-23,2019-12-23,1977-02-01,8.67
2019-12-23,2019-12-23,1977-03-01,8.69
2019-12-23,2019-12-23,1977-04-01,8.75
2019-12-23,2019-12-23,1977-05-01,8.82
2019-12-23,2019-12-23,1977-06-01,8.86
2019-12-23,2019-12-23,1977-07-01,8.94
2019-12-23,2019-12-23,1977-08-01,8.94
2019-12-23,2019-12-23,1977-09-01,8.90
2019-12-23,2019-12-23,1977-10-01,8.92
2019-12-23,2019-12-23,1977-11-01,8.92
2019-12-23,2019-12-23,1977-12-01,8.96
2019-12-23,2019-12-23,1978-01-01,9.02
2019-12-23,2019-12-23,1978-02-01,9.16
2019-12-23,2019-12-23,1978-03-01,9.20
2019-12-23,2019-12-23,1978-04-01,9.36
2019-12-23,2019-12-23,1978-05-01,9.58
2019-12-23,2019-12-23,1978-06-01,9.71
2019-12-23,2019-12-23,1978-07-01,9.74
2019-12-23,2019-12-23,1978-08-01,9.79
2019-12-23,2019-12-23,1978-09-01,9.76
2019-12-23,2019-12-23,1978-10-01,9.86
2019-12-23,2019-12-23,1978-11-01,10.11
2019-12-23,2019-12-23,1978-12-01,10.35
2019-12-23,2019-12-23,1979-01-01,10.39
2019-12-23,2019-12-23,1979-02-01,10.41
2019-12-23,2019-12-23,1979-03-01,10.43
2019-12-23,2019-12-23,1979-04-01,10.50
2019-12-23,2019-12-23,1979-05-01,10.69
2019-12-23,2019-12-23,1979-06-01,11.04
2019-12-23,2019-12-23,1979-07-01,11.09
2019-12-23,2019-12-23,1979-08-01,11.09
2019-12-23,2019-12-23,1979-09-01,11.30
2019-12-23,2019-12-23,1979-10-01,11.64
2019-12-23,2019-12-23,1979-11-01,12.83
2019-12-23,2019-12-23,1979-12-01,12.90
2019-12-23,2019-12-23,1980-01-01,12.88
2019-12-23,2019-12-23,1980-02-01,13.04
2019-12-23,2019-12-23,1980-03-01,15.28
2019-12-23,2019-12-23,1980-04-01,16.33
2019-12-23,2019-12-23,1980-05-01,14.26
2019-12-23,2019-12-23,1980-06-01,12.71
2019-12-23,2019-12-23,1980-07-01,12.19
2019-12-23,2019-12-23,1980-08-01,12.56
2019-12-23,2019-12-23,1980-09-01,13.20
2019-12-23,2019-12-23,1980-10-01,13.79
2019-12-23,2019-12-23,1980-11-01,14.21
